Ensembl Gene ID	% GC content	Gene Start (bp)	Gene End (bp)
ENSMUSG00000009112	43.40	120836230	120892842
ENSMUSG00000047807	46.15	57736563	57738666
ENSMUSG00000041012	47.22	114789345	114844152
ENSMUSG00000050702	41.94	55962589	55980914
ENSMUSG00000093260	32.53	10592484	10592566
ENSMUSG00000065431	33.80	157544279	157544349
ENSMUSG00000088628	38.53	53700847	53700955
ENSMUSG00000065739	48.25	37632205	37632347
ENSMUSG00000098901	56.67	82548624	82548683
ENSMUSG00000099971	42.69	21080114	21081748
ENSMUSG00000092435	43.90	36723948	36724275
ENSMUSG00000104205	42.61	123468450	123469944
ENSMUSG00000104200	39.66	51302488	51302903
ENSMUSG00000094949	44.52	36793238	36794176
ENSMUSG00000106429	48.81	96458209	96470656
ENSMUSG00000103716	60.36	34928509	34930645
ENSMUSG00000065036	50.00	131380273	131380406
ENSMUSG00000036760	44.59	72512119	72546279
ENSMUSG00000098795	59.35	34560340	34560553
ENSMUSG00000073980	53.91	36137188	36139105
ENSMUSG00000105133	45.35	97626967	97627052
ENSMUSG00000089854	45.46	63333137	63339959
ENSMUSG00000103856	51.34	13749954	13750512
ENSMUSG00000077199	50.72	104070189	104070326
ENSMUSG00000088062	44.27	33589606	33589736
ENSMUSG00000062046	46.53	153789305	153792087
ENSMUSG00000047264	55.78	3493138	3497208
ENSMUSG00000087777	40.38	33088646	33088749
ENSMUSG00000024437	50.00	149155108	149156209
ENSMUSG00000076987	62.73	109148589	109148698
ENSMUSG00000098737	53.97	95734911	95734973
ENSMUSG00000049758	42.68	112155953	112156915
ENSMUSG00000065088	47.55	37499317	37499459
ENSMUSG00000062497	55.31	92596495	92597492
ENSMUSG00000089299	44.71	165440625	165440709
ENSMUSG00000102801	34.51	123363740	123367234
ENSMUSG00000103804	40.75	38076295	38077305
ENSMUSG00000092289	56.49	36157988	36158534
ENSMUSG00000074782	41.30	91701665	91741872
ENSMUSG00000096522	49.50	24143368	24143468
ENSMUSG00000096446	42.08	43100601	43115190
ENSMUSG00000103548	44.54	34969627	34969855
ENSMUSG00000080545	49.23	123391114	123391243
ENSMUSG00000076005	41.03	67988374	67988451
ENSMUSG00000096482	36.49	129897932	129898005
ENSMUSG00000095638	60.37	96766761	96767141
ENSMUSG00000093791	48.76	189393350	189393470
ENSMUSG00000059645	44.32	26257691	26264308
ENSMUSG00000076882	40.32	54168686	54168747
ENSMUSG00000103226	45.57	164489060	164489375
ENSMUSG00000065414	54.55	122682876	122682974
ENSMUSG00000083716	58.38	36807826	36808392
ENSMUSG00000039496	42.58	3513030	3526376
ENSMUSG00000089868	44.05	63446930	63447265
ENSMUSG00000080394	61.16	162748554	162748674
ENSMUSG00000095332	55.25	91945703	91947655
ENSMUSG00000089077	38.71	85962771	85962832
ENSMUSG00000067627	44.63	9864251	9870315
ENSMUSG00000077357	48.85	50539904	50540034
ENSMUSG00000021999	42.30	75242287	75283551
ENSMUSG00000037910	40.26	48605732	48609102
ENSMUSG00000092643	66.13	46434808	46434869
ENSMUSG00000103760	47.94	34970065	34970500
ENSMUSG00000092917	39.44	145039344	145039414
ENSMUSG00000106932	43.69	38344435	38349197
ENSMUSG00000066936	52.22	132229048	132229767
ENSMUSG00000049511	48.18	81628291	81633828
ENSMUSG00000095286	47.48	37659378	37660331
ENSMUSG00000065079	53.06	90560556	90560702
ENSMUSG00000080504	37.21	10471644	10471729
ENSMUSG00000086923	46.98	100426405	100437754
ENSMUSG00000098969	56.04	52246718	52246808
ENSMUSG00000053391	48.82	116493611	116494540
ENSMUSG00000060257	54.25	152081529	152095802
ENSMUSG00000096664	50.20	146537647	146540427
ENSMUSG00000105988	51.72	101645144	101645259
ENSMUSG00000086069	45.04	73459705	73477602
ENSMUSG00000077664	42.52	31259593	31259719
ENSMUSG00000098659	34.16	4797558	4814911
ENSMUSG00000097281	44.28	164503309	164514882
ENSMUSG00000103997	55.32	34985656	34985890
ENSMUSG00000077040	57.27	130887669	130887778
ENSMUSG00000093645	53.49	130277195	130277280
ENSMUSG00000073403	52.69	36141758	36145923
ENSMUSG00000068806	42.90	89943184	89944113
ENSMUSG00000077741	46.21	116065788	116065919
ENSMUSG00000099248	54.24	52249299	52249475
ENSMUSG00000063875	49.73	76337616	76338365
ENSMUSG00000068732	44.52	108556425	108562466
ENSMUSG00000081649	48.78	116540455	116541438
ENSMUSG00000105786	45.39	26355418	26357230
ENSMUSG00000088559	53.66	184822407	184822488
ENSMUSG00000043881	43.03	79426511	79431039
ENSMUSG00000046034	44.69	27605919	27630693
ENSMUSG00000094362	44.71	21391811	21392698
ENSMUSG00000065536	44.44	151913214	151913321
ENSMUSG00000106639	45.52	100437834	100439138
ENSMUSG00000064738	46.30	88862919	88863080
ENSMUSG00000063583	53.32	92607839	92608847
ENSMUSG00000088624	42.64	97272211	97272339
ENSMUSG00000086438	41.98	153836902	153852424
ENSMUSG00000088128	36.19	76214101	76214205
ENSMUSG00000032864	41.17	101624718	101632529
ENSMUSG00000071757	47.54	57694665	57839832
ENSMUSG00000088669	45.71	154080095	154080199
ENSMUSG00000061615	65.12	23751126	23751598
ENSMUSG00000102389	41.46	164575455	164578553
ENSMUSG00000093930	41.59	119690462	119708086
ENSMUSG00000081278	55.38	3531285	3531600
ENSMUSG00000104666	39.53	27493556	27493641
ENSMUSG00000091494	42.03	4838106	4846867
ENSMUSG00000103461	40.06	9047171	9047492
ENSMUSG00000048581	40.72	63914684	63929472
ENSMUSG00000098249	36.36	50222389	50222520
ENSMUSG00000092366	47.95	36156531	36162079
ENSMUSG00000089237	50.00	153708911	153709026
ENSMUSG00000093280	73.17	32712807	32712888
ENSMUSG00000061848	55.92	81972390	81972845
ENSMUSG00000104417	42.67	35625606	35651297
ENSMUSG00000049620	56.40	23833360	23836056
ENSMUSG00000103445	44.47	72440760	72444006
ENSMUSG00000105738	52.46	52378121	52378181
ENSMUSG00000076883	40.98	54169808	54169868
ENSMUSG00000095955	45.79	95832129	95832235
ENSMUSG00000032911	54.83	56865104	56899870
ENSMUSG00000078060	33.88	10516097	10516217
ENSMUSG00000065872	41.51	109863780	109863885
ENSMUSG00000104141	44.20	4890266	4891231
ENSMUSG00000037438	52.22	99898287	99898556
ENSMUSG00000082580	55.77	3550757	3551068
ENSMUSG00000032094	46.88	44981793	44987052
ENSMUSG00000102761	41.16	164681982	164712771
ENSMUSG00000065242	38.46	17325315	17325418
ENSMUSG00000077472	46.56	123389801	123389931
ENSMUSG00000090314	49.09	92868359	92870216
ENSMUSG00000105810	41.03	108555467	108556904
ENSMUSG00000101714	51.22	35806974	35810462
ENSMUSG00000093874	39.10	62136930	62137062
ENSMUSG00000103116	46.25	9061964	9071074
ENSMUSG00000088197	42.11	65376169	65376282
ENSMUSG00000088740	54.01	80458038	80458174
ENSMUSG00000064428	40.19	163150391	163150497
ENSMUSG00000004730	41.16	57358686	57483529
ENSMUSG00000103750	67.32	93290366	93291133
ENSMUSG00000081070	49.77	3686362	3687430
ENSMUSG00000098368	49.53	90327312	90327418
ENSMUSG00000096639	42.06	68461339	68461445
ENSMUSG00000100375	45.91	75349006	75351181
ENSMUSG00000088148	53.79	21896918	21897049
ENSMUSG00000064884	42.06	80088447	80088553
ENSMUSG00000079423	41.55	95510758	95522953
ENSMUSG00000098654	37.70	45112488	45112548
ENSMUSG00000105243	42.96	121020486	121020776
ENSMUSG00000102753	35.82	73041975	73043839
ENSMUSG00000106148	36.30	11320804	11340297
ENSMUSG00000106642	31.03	66822656	66822713
ENSMUSG00000096922	36.68	5090276	5094776
ENSMUSG00000084741	42.46	109804760	109805044
ENSMUSG00000080676	49.59	115484016	115484136
ENSMUSG00000093211	47.37	77577714	77577789
ENSMUSG00000057174	44.25	88931804	88932264
ENSMUSG00000095149	33.87	72490958	72491019
ENSMUSG00000062309	59.14	57504102	57505447
ENSMUSG00000055239	43.28	72841114	72899979
ENSMUSG00000021730	36.35	117602480	117976802
ENSMUSG00000102897	40.61	164640953	164698233
ENSMUSG00000085205	49.09	3752986	3755177
ENSMUSG00000031538	47.08	22757744	22782847
ENSMUSG00000077705	45.61	112469253	112469366
ENSMUSG00000098585	65.42	24617011	24617117
ENSMUSG00000102531	48.31	35879845	35881119
ENSMUSG00000067818	54.59	156775420	156781658
ENSMUSG00000093000	51.82	118434721	118434830
ENSMUSG00000104749	41.89	121029086	121029782
ENSMUSG00000077447	53.79	94987007	94987138
ENSMUSG00000056257	43.88	30974204	30975976
ENSMUSG00000089158	42.56	192998286	192998574
ENSMUSG00000065083	54.40	120640711	120640835
ENSMUSG00000061802	39.91	7088233	7297901
ENSMUSG00000054325	50.64	92925287	92926230
ENSMUSG00000087873	37.61	37060246	37060354
ENSMUSG00000077246	47.41	35975330	35975464
ENSMUSG00000104241	55.17	51402844	51403162
ENSMUSG00000016982	47.95	21981194	21988734
ENSMUSG00000029044	43.16	26460070	26493314
ENSMUSG00000095557	50.32	146556136	146558915
ENSMUSG00000092657	57.60	53443271	53443395
ENSMUSG00000080408	30.95	37371322	37371447
ENSMUSG00000038311	46.95	36145018	36163176
ENSMUSG00000070601	34.33	130385316	130394241
ENSMUSG00000080703	51.46	3679802	3680590
ENSMUSG00000104652	35.63	10491566	10491652
ENSMUSG00000094523	49.50	96164331	96164431
ENSMUSG00000103335	66.54	93284302	93285078
ENSMUSG00000103383	41.70	164631757	164659238
ENSMUSG00000098455	38.18	106426057	106426166
ENSMUSG00000090497	38.10	49976258	49976488
ENSMUSG00000102028	46.25	75372463	75377269
ENSMUSG00000042894	35.11	89974709	89978712
ENSMUSG00000105783	35.63	10503791	10503877
ENSMUSG00000098677	66.67	82393919	82393978
ENSMUSG00000077642	50.38	72527550	72527682
ENSMUSG00000040722	48.55	57441328	57468024
ENSMUSG00000063383	37.61	22144359	22166190
ENSMUSG00000095829	44.20	11341516	11346286
ENSMUSG00000031546	47.21	23226610	23237668
ENSMUSG00000010660	52.78	119071527	119093496
ENSMUSG00000022360	40.15	58094047	58135082
ENSMUSG00000022951	49.85	92391953	92466146
ENSMUSG00000003178	49.90	121007241	121081609
ENSMUSG00000038567	47.54	170482708	170497145
ENSMUSG00000090083	49.44	29614790	29641664
ENSMUSG00000072964	44.29	135885851	135891081
ENSMUSG00000022012	43.16	77156763	77721760
ENSMUSG00000027962	39.91	116109949	116129688
ENSMUSG00000032221	43.08	72438011	72462025
ENSMUSG00000072944	38.23	140006805	140062712
ENSMUSG00000105399	51.52	159340358	159340423
ENSMUSG00000103819	44.59	9258617	9259134
ENSMUSG00000023923	38.04	50733127	51179349
ENSMUSG00000030110	49.53	118151748	118197744
ENSMUSG00000043164	44.76	27866066	27896368
ENSMUSG00000038997	42.38	153844209	153855082
ENSMUSG00000055991	46.81	145204562	145221750
ENSMUSG00000029320	43.62	103648039	103656010
ENSMUSG00000009614	51.51	27188393	27248337
ENSMUSG00000027165	40.95	101560781	101649532
ENSMUSG00000037287	44.74	42412316	42507809
ENSMUSG00000075284	45.36	73429610	73529734
ENSMUSG00000025995	39.50	45795166	45823619
ENSMUSG00000030116	45.87	122505845	122529290
ENSMUSG00000037643	42.79	30995747	31052959
ENSMUSG00000037712	43.57	45458792	45530118
ENSMUSG00000022051	43.51	66985239	67008877
ENSMUSG00000023393	51.21	180725263	180742280
ENSMUSG00000037031	50.78	62185396	62231218
ENSMUSG00000005958	53.68	21204755	21223305
ENSMUSG00000041684	41.12	44118957	44144770
ENSMUSG00000019791	38.46	30608141	30618479
ENSMUSG00000026082	39.39	38052786	38129801
ENSMUSG00000031696	38.14	85260397	85299513
ENSMUSG00000010311	50.09	133897199	133907999
ENSMUSG00000029826	45.29	38305286	38354603
ENSMUSG00000085642	44.94	20874125	20921262
ENSMUSG00000036815	37.82	123321471	124045559
ENSMUSG00000076145	48.65	109715577	109715650
ENSMUSG00000036330	42.17	69037711	69089235
ENSMUSG00000053646	55.34	109095389	109119917
ENSMUSG00000026649	46.09	171113918	171126967
ENSMUSG00000048031	42.24	87435773	87500678
ENSMUSG00000089316	47.53	147250462	147250785
ENSMUSG00000098565	50.88	5864306	5864419
ENSMUSG00000099227	61.26	153899926	153900036
ENSMUSG00000098899	65.09	24617213	24617318
ENSMUSG00000088851	42.40	143674943	143675067
ENSMUSG00000064653	46.73	14087439	14087545
ENSMUSG00000089182	36.94	104471051	104471207
ENSMUSG00000098931	52.76	93927338	93927464
ENSMUSG00000065714	40.78	5035360	5035462
ENSMUSG00000098347	52.99	130016292	130016408
ENSMUSG00000031111	45.31	49782536	49797749
ENSMUSG00000000568	38.55	99955935	99978938
ENSMUSG00000084505	39.42	119530211	119530314
ENSMUSG00000096366	50.44	146604212	146604776
ENSMUSG00000085630	42.57	7759670	7763930
ENSMUSG00000100353	44.81	64784166	64784781
ENSMUSG00000084032	52.56	135377158	135377235
ENSMUSG00000085522	37.88	30664596	30796663
ENSMUSG00000082771	38.81	109629582	109630725
ENSMUSG00000100424	39.23	54819758	54820616
ENSMUSG00000100153	46.91	119740128	119741099
ENSMUSG00000027347	43.95	117279993	117343001
ENSMUSG00000100468	38.32	13719693	13719906
ENSMUSG00000031644	39.06	60993195	61131346
ENSMUSG00000091292	45.69	3086001	3087834
ENSMUSG00000060961	41.55	88886818	89239653
ENSMUSG00000021228	47.87	84052144	84059565
ENSMUSG00000100731	43.78	10678430	10679128
ENSMUSG00000080976	45.22	87304673	87304944
ENSMUSG00000043673	43.23	11090202	11150842
ENSMUSG00000101426	50.95	59734683	59735210
ENSMUSG00000083769	48.68	114664608	114664909
ENSMUSG00000064476	61.88	150964735	150964894
ENSMUSG00000094919	40.51	59432407	59432485
ENSMUSG00000036225	44.93	14968685	15151446
ENSMUSG00000021922	52.78	30886476	30901981
ENSMUSG00000038346	45.67	125009145	125037870
ENSMUSG00000032363	52.11	90163069	90208071
ENSMUSG00000089359	41.54	15452422	15452551
ENSMUSG00000082454	43.99	48751867	48753714
ENSMUSG00000064115	35.53	66655421	67620908
ENSMUSG00000041073	58.38	6597823	6606053
ENSMUSG00000024799	52.21	6062821	6068373
ENSMUSG00000067889	51.16	4711208	4752353
ENSMUSG00000088200	45.64	126634539	126634687
ENSMUSG00000088616	37.38	98814775	98814881
ENSMUSG00000088906	50.91	36373774	36373883
ENSMUSG00000105770	40.58	185242975	185243043
ENSMUSG00000093054	28.00	117848553	117848652
ENSMUSG00000088219	56.99	80080251	80080343
ENSMUSG00000092677	53.42	44221195	44221267
ENSMUSG00000099193	55.56	100442395	100442475
ENSMUSG00000092793	39.29	10466663	10466746
ENSMUSG00000080539	39.36	68384942	68385035
ENSMUSG00000084484	33.96	123942104	123942209
ENSMUSG00000088504	52.86	89182981	89183120
ENSMUSG00000099075	60.32	32050946	32051008
ENSMUSG00000065456	43.08	52742503	52742567
ENSMUSG00000077410	46.21	114824154	114824285
ENSMUSG00000077890	37.18	35660970	35661047
ENSMUSG00000103096	47.23	35958919	35959822
ENSMUSG00000038403	52.79	96525172	96529210
ENSMUSG00000065012	42.06	88905121	88905227
ENSMUSG00000088337	32.69	9865347	9865450
ENSMUSG00000073948	44.79	103470041	103470991
ENSMUSG00000095731	44.86	178028033	178028139
ENSMUSG00000093147	40.00	32593469	32593573
ENSMUSG00000048185	55.46	63421401	63421739
ENSMUSG00000095460	43.50	146605105	146605481
ENSMUSG00000080441	61.22	84951526	84951623
ENSMUSG00000100074	43.63	10713102	10713800
ENSMUSG00000088282	39.02	126900896	126901018
ENSMUSG00000080822	46.84	74846561	74849438
ENSMUSG00000104137	40.50	9705261	9705623
ENSMUSG00000098759	54.95	141620701	141620791
ENSMUSG00000092723	85.88	107434572	107434656
ENSMUSG00000083983	36.61	37880081	37889918
ENSMUSG00000103376	63.06	96006333	96007155
ENSMUSG00000065580	40.62	69009772	69009835
ENSMUSG00000087641	40.92	109569214	109656791
ENSMUSG00000101654	45.64	34335629	34336075
ENSMUSG00000102163	43.39	164705419	164712541
ENSMUSG00000089553	47.11	23245211	23245331
ENSMUSG00000093340	91.58	74563821	74563915
ENSMUSG00000095843	37.19	10475500	10475620
ENSMUSG00000077830	31.75	3699178	3699240
ENSMUSG00000077543	51.18	34842228	34842354
ENSMUSG00000095721	63.85	77787490	77788200
ENSMUSG00000103933	50.00	8815842	8816039
ENSMUSG00000088172	44.55	119969821	119969921
ENSMUSG00000065236	53.78	88906510	88906628
ENSMUSG00000093886	57.14	133558824	133558949
ENSMUSG00000106351	50.27	11351109	11352214
ENSMUSG00000094391	40.35	31117674	31119170
ENSMUSG00000084443	45.45	83216671	83216791
ENSMUSG00000089072	40.32	34139253	34139376
ENSMUSG00000076994	32.10	10503565	10503645
ENSMUSG00000099676	46.70	10726740	10727118
ENSMUSG00000079048	35.88	117706764	117720011
ENSMUSG00000081832	41.30	74860878	74861015
ENSMUSG00000088386	43.84	54240755	54240900
ENSMUSG00000083068	48.34	8118620	8119736
ENSMUSG00000072407	49.07	74862988	74863419
ENSMUSG00000101490	45.26	54968742	54969437
ENSMUSG00000081629	40.21	9737152	9737621
ENSMUSG00000102520	40.79	17833041	17835401
ENSMUSG00000076255	67.47	89227116	89227198
ENSMUSG00000077493	39.78	74905424	74905516
ENSMUSG00000096184	49.59	33628841	33628961
ENSMUSG00000088063	49.51	166768745	166768847
ENSMUSG00000083565	53.61	32892686	32893295
ENSMUSG00000082196	46.79	156789812	156790403
ENSMUSG00000094090	51.99	146574888	146576120
ENSMUSG00000096447	43.04	59538998	59539076
ENSMUSG00000104589	56.52	42442852	42442920
ENSMUSG00000101631	45.02	51391153	51391845
ENSMUSG00000098480	55.56	15800994	15801101
ENSMUSG00000089017	48.82	112198915	112199041
ENSMUSG00000095229	40.01	31336454	31337950
ENSMUSG00000081451	40.72	77542133	77543080
ENSMUSG00000048304	46.02	73047265	73057803
ENSMUSG00000101665	45.61	53712724	53713418
ENSMUSG00000099349	46.40	11964276	11970083
ENSMUSG00000046396	50.52	103491917	103492876
ENSMUSG00000026655	43.75	3613758	3782142
ENSMUSG00000073179	46.25	20896239	20896638
ENSMUSG00000088779	50.00	132100639	132100754
ENSMUSG00000098527	50.75	100649163	100649229
ENSMUSG00000102279	46.92	35981960	35986373
ENSMUSG00000021388	36.95	49544443	49567557
ENSMUSG00000099635	48.99	85619326	85621001
ENSMUSG00000078355	43.37	88675915	88676924
ENSMUSG00000035686	48.01	97412938	97417730
ENSMUSG00000053395	48.31	3390683	3415648
ENSMUSG00000063245	39.58	146610961	146658160
ENSMUSG00000057322	52.78	114668524	114672331
ENSMUSG00000003363	49.75	27532000	27553218
ENSMUSG00000043924	49.76	135369576	135398227
ENSMUSG00000017639	51.29	79591212	79698023
ENSMUSG00000017376	40.51	78567168	78697373
ENSMUSG00000030397	52.95	19426075	19458494
ENSMUSG00000041329	53.41	69599736	69605942
ENSMUSG00000039202	47.49	79273201	79365508
ENSMUSG00000025510	56.41	141467362	141471479
ENSMUSG00000105214	26.04	21947331	21947499
ENSMUSG00000088122	48.01	85909911	85910187
ENSMUSG00000099215	61.82	15020535	15020644
ENSMUSG00000100801	48.79	5781615	5783555
ENSMUSG00000092845	71.64	25055109	25055175
ENSMUSG00000083985	53.22	53877925	53878328
ENSMUSG00000065401	37.88	78073005	78073070
ENSMUSG00000077384	43.87	15211631	15211785
ENSMUSG00000098376	52.11	78408475	78408545
ENSMUSG00000102790	46.52	186182257	186182744
ENSMUSG00000079645	39.34	84922542	84923512
ENSMUSG00000065788	45.79	130205465	130205571
ENSMUSG00000088001	45.28	87318694	87318799
ENSMUSG00000065659	43.93	29737318	29737424
ENSMUSG00000077280	43.28	129302091	129302224
ENSMUSG00000088579	43.31	145291354	145291480
ENSMUSG00000105491	35.71	26599438	26599549
ENSMUSG00000080428	46.03	113332100	113332225
ENSMUSG00000092048	36.02	130417772	130429612
ENSMUSG00000080193	40.00	74872196	74872435
ENSMUSG00000076009	57.33	102671792	102671866
ENSMUSG00000047002	59.44	11208382	11208948
ENSMUSG00000106034	36.18	11400212	11415204
ENSMUSG00000093338	56.32	133564708	133564794
ENSMUSG00000099395	45.28	66114135	66117482
ENSMUSG00000084555	44.20	133797582	133797719
ENSMUSG00000086987	40.82	54151831	54163678
ENSMUSG00000099295	54.65	62107187	62107272
ENSMUSG00000099928	62.07	96005889	96008055
ENSMUSG00000105334	34.92	13133459	13135958
ENSMUSG00000064834	35.24	35735373	35735477
